Density,cohesion, friction, angle,Height,ru,Status
21.8,7.2,17.8,42,41,1,Failure
21.96,34.77,14.15,28,60,0,Stable
21.96,34.77,14.15,24,115,0,Stable
22.93,32.33,19.73,30,50,1,Stable
22.15,19.47,13.29,28,110,1,Stable
23.4,20,9,36.5,50,0,Stable
21.8,18.05,9.72,30,40,0,Failure
23.98,32.77,17.28,40,100,0,Failure
20.57,24.8,15.53,40,50,1,Stable
21.2,24.88,17.29,44,52,0,Failure
22.15,5,19,45,40,1,Failure
21.8,18.05,9.72,35,40,0,Failure
23.75,36.78,22.63,42,43,1,Failure
20.98,23.59,20,45,65,0,Failure
22.6,24.06,14.04,26,190,1,Stable
22.29,27.54,10.1,40,70,0,Stable
22.1,24.67,16.2,40,70,1,Stable
20.25,32.4,11.99,45,36,1,Failure
20.8,15.57,8.74,29.7,35,1,Failure
21.17,15.44,16,33,32,1,Failure
22.94,33.77,23.29,27,170,1,Stable
22.95,46.49,25.11,30,42,1,Stable
21.92,19.4,15.5,35,80,1,Failure
21.42,28.9,16.2,40,30,1,Stable
20.8,40.25,19.39,45,123,1,Failure
20.1,34.61,24.69,22,94,0,Stable
19.19,19.69,17.68,34,43,1,Failure
19.18,12.8,9.45,45,20,0,Failure
17.8,22.2,6.05,40,51.6,1,Failure
